time;model_id;model_name;port_name;data
0;1;671606;;69750, 0, 0, 0, 0.00
0;2;893464;;2271738, 0, 0, 0, 0.00
0;3;893161;;2270747, 0, 0, 0, 0.00
0;4;893156;;2270742, 0, 0, 0, 0.00
0;5;893155;;2270741, 0, 0, 0, 0.00
0;6;893150;;2270736, 0, 0, 0, 0.00
0;7;892850;;2269748, 0, 0, 0, 0.00
0;8;892849;;2269747, 0, 0, 0, 0.00
0;9;892848;;2269746, 0, 0, 0, 0.00
0;10;892839;;2269737, 0, 0, 0, 0.00
0;11;893159;;2270745, 0, 0, 0, 0.00
0;12;892838;;2269736, 0, 0, 0, 0.00
0;13;892542;;2268752, 0, 0, 0, 0.00
0;14;892541;;2268751, 0, 0, 0, 0.00
0;15;892538;;2268748, 0, 0, 0, 0.00
0;16;892535;;2268745, 0, 0, 0, 0.00
0;17;892533;;2268743, 0, 0, 0, 0.00
0;18;892531;;2268741, 0, 0, 0, 0.00
0;19;892528;;2268738, 0, 0, 0, 0.00
0;20;892228;;2267750, 0, 0, 0, 0.00
0;21;892224;;2267746, 0, 0, 0, 0.00
0;22;892223;;2267745, 0, 0, 0, 0.00
0;23;892222;;2267744, 0, 0, 0, 0.00
0;24;892221;;2267743, 0, 0, 0, 0.00
0;25;892214;;2267736, 0, 0, 0, 0.00
0;26;892212;;2267734, 0, 0, 0, 0.00
0;27;892211;;2267733, 0, 0, 0, 0.00
0;28;891919;;2266752, 0, 0, 0, 0.00
0;29;891918;;2266751, 0, 0, 0, 0.00
0;30;891917;;2266750, 0, 0, 0, 0.00
0;31;891915;;2266748, 0, 0, 0, 0.00
0;32;891913;;2266746, 0, 0, 0, 0.00
0;33;891909;;2266742, 0, 0, 0, 0.00
0;34;891906;;2266739, 0, 0, 0, 0.00
0;35;891903;;2266736, 0, 0, 0, 0.00
0;36;891898;;2266731, 0, 0, 0, 0.00
0;37;891897;;2266730, 0, 0, 0, 0.00
0;38;891608;;2265752, 0, 0, 0, 0.00
0;39;891607;;2265751, 0, 0, 0, 0.00
0;40;891605;;2265749, 0, 0, 0, 0.00
0;41;891604;;2265748, 0, 0, 0, 0.00
0;42;891602;;2265746, 0, 0, 0, 0.00
0;43;891601;;2265745, 0, 0, 0, 0.00
0;44;891600;;2265744, 0, 0, 0, 0.00
0;45;891593;;2265737, 0, 0, 0, 0.00
0;46;891592;;2265736, 0, 0, 0, 0.00
0;47;891297;;2264752, 0, 0, 0, 0.00
0;48;891296;;2264751, 0, 0, 0, 0.00
0;49;891293;;2264748, 0, 0, 0, 0.00
0;50;891291;;2264746, 0, 0, 0, 0.00
0;51;891289;;2264744, 0, 0, 0, 0.00
0;52;891288;;2264743, 0, 0, 0, 0.00
0;53;892230;;2267752, 0, 0, 0, 0.00
0;54;891287;;2264742, 0, 0, 0, 0.00
0;55;891591;;2265735, 0, 0, 0, 0.00
0;56;891283;;2264738, 0, 0, 0, 0.00
0;57;891281;;2264736, 0, 0, 0, 0.00
0;58;891280;;2264735, 0, 0, 0, 0.00
0;59;891595;;2265739, 0, 0, 0, 0.00
0;60;891279;;2264734, 0, 0, 0, 0.00
0;61;891275;;2264730, 0, 0, 0, 0.00
0;62;890992;;2263757, 0, 0, 0, 0.00
0;63;890989;;2263754, 0, 0, 0, 0.00
0;64;890987;;2263752, 0, 0, 0, 0.00
0;65;890985;;2263750, 0, 0, 0, 0.00
0;66;892840;;2269738, 0, 0, 0, 0.00
0;67;890984;;2263749, 0, 0, 0, 0.00
0;68;890983;;2263748, 0, 0, 0, 0.00
0;69;890981;;2263746, 0, 0, 0, 0.00
0;70;890979;;2263744, 0, 0, 0, 0.00
0;71;890977;;2263742, 0, 0, 0, 0.00
0;72;890976;;2263741, 0, 0, 0, 0.00
0;73;892846;;2269744, 0, 0, 0, 0.00
0;74;890973;;2263738, 0, 0, 0, 0.00
0;75;890969;;2263734, 0, 0, 0, 0.00
0;76;890965;;2263730, 0, 0, 0, 0.00
0;77;890680;;2262755, 0, 0, 0, 0.00
0;78;890678;;2262753, 0, 0, 0, 0.00
0;79;891276;;2264731, 0, 0, 0, 0.00
0;80;890677;;2262752, 0, 0, 0, 0.00
0;81;890676;;2262751, 0, 0, 0, 0.00
0;82;891285;;2264740, 0, 0, 0, 0.00
0;83;890673;;2262748, 0, 0, 0, 0.00
0;84;892525;;2268735, 0, 0, 0, 0.00
0;85;890668;;2262743, 0, 0, 0, 0.00
0;86;890667;;2262742, 0, 0, 0, 0.00
0;87;890665;;2262740, 0, 0, 0, 0.00
0;88;890664;;2262739, 0, 0, 0, 0.00
0;89;890663;;2262738, 0, 0, 0, 0.00
0;90;892540;;2268750, 0, 0, 0, 0.00
0;91;890661;;2262736, 0, 0, 0, 0.00
0;92;890660;;2262735, 0, 0, 0, 0.00
0;93;893153;;2270739, 0, 0, 0, 0.00
0;94;890656;;2262731, 0, 0, 0, 0.00
0;95;890372;;2261757, 0, 0, 0, 0.00
0;96;890371;;2261756, 0, 0, 0, 0.00
0;97;890367;;2261752, 0, 0, 0, 0.00
0;98;890365;;2261750, 0, 0, 0, 0.00
0;99;890363;;2261748, 0, 0, 0, 0.00
0;100;890361;;2261746, 0, 0, 0, 0.00
0;101;890360;;2261745, 0, 0, 0, 0.00
0;102;890359;;2261744, 0, 0, 0, 0.00
0;103;890355;;2261740, 0, 0, 0, 0.00
0;104;890354;;2261739, 0, 0, 0, 0.00
0;105;890353;;2261738, 0, 0, 0, 0.00
0;106;891586;;2265730, 0, 0, 0, 0.00
0;107;890348;;2261733, 0, 0, 0, 0.00
0;108;890346;;2261731, 0, 0, 0, 0.00
0;109;890061;;2260756, 0, 0, 0, 0.00
0;110;890060;;2260755, 0, 0, 0, 0.00
0;111;892527;;2268737, 0, 0, 0, 0.00
0;112;890055;;2260750, 0, 0, 0, 0.00
0;113;890052;;2260747, 0, 0, 0, 0.00
0;114;890356;;2261741, 0, 0, 0, 0.00
0;115;890050;;2260745, 0, 0, 0, 0.00
0;116;890039;;2260734, 0, 0, 0, 0.00
0;117;889752;;2259756, 0, 0, 0, 0.00
0;118;889750;;2259754, 0, 0, 0, 0.00
0;119;889748;;2259752, 0, 0, 0, 0.00
0;120;891905;;2266738, 0, 0, 0, 0.00
0;121;889747;;2259751, 0, 0, 0, 0.00
0;122;889745;;2259749, 0, 0, 0, 0.00
0;123;890970;;2263735, 0, 0, 0, 0.00
0;124;889744;;2259748, 0, 0, 0, 0.00
0;125;889742;;2259746, 0, 0, 0, 0.00
0;126;889740;;2259744, 0, 0, 0, 0.00
0;127;889737;;2259741, 0, 0, 0, 0.00
0;128;889734;;2259738, 0, 0, 0, 0.00
0;129;889731;;2259735, 0, 0, 0, 0.00
0;130;889728;;2259732, 0, 0, 0, 0.00
0;131;892215;;2267737, 0, 0, 0, 0.00
0;132;889726;;2259730, 0, 0, 0, 0.00
0;133;889443;;2258756, 0, 0, 0, 0.00
0;134;892225;;2267747, 0, 0, 0, 0.00
0;135;891587;;2265731, 0, 0, 0, 0.00
0;136;889441;;2258754, 0, 0, 0, 0.00
0;137;890968;;2263733, 0, 0, 0, 0.00
0;138;889440;;2258753, 0, 0, 0, 0.00
0;139;889746;;2259750, 0, 0, 0, 0.00
0;140;889438;;2258751, 0, 0, 0, 0.00
0;141;889435;;2258748, 0, 0, 0, 0.00
0;142;892217;;2267739, 0, 0, 0, 0.00
0;143;891299;;2264754, 0, 0, 0, 0.00
